Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-03-23 00:00:00.000000 UTC,83840.59,86129.64,83809.75,86082.5,8461.97813,2025-03-23 23:59:59.999000 UTC,718692319.1499039,1206533,4424.81013,376007261.5213597,0
2025-03-24 00:00:00.000000 UTC,86082.5,88765.43,85519.09,87498.16,30115.62111,2025-03-24 23:59:59.999000 UTC,2636765917.951844,2916713,14379.95578,1258638667.112904,0
2025-03-25 00:00:00.000000 UTC,87498.16,88539.63,86310,87392.87,22643.25248,2025-03-25 23:59:59.999000 UTC,1979571590.8982933,2802815,9440.56294,825308072.6337814,0
2025-03-26 00:00:00.000000 UTC,87392.88,88275,85860,86909.17,18408.78485,2025-03-26 23:59:59.999000 UTC,1606406955.5864632,2380154,8590.97753,749604853.2968135,0
2025-03-27 00:00:00.000000 UTC,86909.17,87756.39,85800,87232.01,17098.03897,2025-03-27 23:59:59.999000 UTC,1487968807.7079022,2376381,8185.05517,712324893.2889168,0
2025-03-28 00:00:00.000000 UTC,87232.01,87515.67,83585,84424.38,27182.73169,2025-03-28 23:59:59.999000 UTC,2309946560.664113,3236085,11274.83736,958523321.8112732,0
2025-03-29 00:00:00.000000 UTC,84424.38,84624.73,81644.81,82648.54,11696.39864,2025-03-29 23:59:59.999000 UTC,970199917.9868716,2172387,5621.60485,466215575.48490685,0
2025-03-30 00:00:00.000000 UTC,82648.53,83534.64,81565,82389.99,9864.49508,2025-03-30 23:59:59.999000 UTC,816584795.5288126,1907663,4725.07105,391214080.11011606,0
2025-03-31 00:00:00.000000 UTC,82390,83943.08,81278.52,82550.01,20569.13885,2025-03-31 23:59:59.999000 UTC,1696009191.0809648,3964358,9912.88184,817875871.1107411,0
2025-04-01 00:00:00.000000 UTC,82550,85579.46,82432.74,85158.34,20190.39697,2025-04-01 23:59:59.999000 UTC,1698895702.5754683,3328693,10246.42648,862302772.4330863,0
2025-04-02 00:00:00.000000 UTC,85158.35,88500,82320,82516.29,39931.457,2025-04-02 23:59:59.999000 UTC,3417279759.830764,5338238,20739.67809,1777735583.840748,0
2025-04-03 00:00:00.000000 UTC,82516.28,83998.02,81211.24,83213.09,27337.84135,2025-04-03 23:59:59.999000 UTC,2259299724.8643928,4117486,13951.52792,1153439398.6198013,0
2025-04-04 00:00:00.000000 UTC,83213.09,84720,81659,83889.87,32915.53976,2025-04-04 23:59:59.999000 UTC,2739842666.426737,4992586,15896.18779,1323832046.264688,0
2025-04-05 00:00:00.000000 UTC,83889.87,84266,82379.95,83537.99,9360.40468,2025-04-05 23:59:59.999000 UTC,779626577.9013437,1575750,4029.64658,335654613.7277184,0
2025-04-06 00:00:00.000000 UTC,83537.99,83817.63,77153.83,78430,27942.71436,2025-04-06 23:59:59.999000 UTC,2239085051.1529646,3948493,12493.8449,1001459573.494466,0
2025-04-07 00:00:00.000000 UTC,78430,81243.58,74508,79163.24,78387.53089,2025-04-07 23:59:59.999000 UTC,6084614024.150647,9736596,39075.84274,3034375055.6843963,0
2025-04-08 00:00:00.000000 UTC,79163.24,80867.99,76239.9,76322.42,35317.32063,2025-04-08 23:59:59.999000 UTC,2775277777.102461,5512751,15704.73031,1235370767.1153505,0
2025-04-09 00:00:00.000000 UTC,76322.42,83588,74620,82615.22,75488.28772,2025-04-09 23:59:59.999000 UTC,5980231256.222496,7741252,39491.62958,3137004042.959261,0
2025-04-10 00:00:00.000000 UTC,82615.22,82753.21,78464.36,79607.3,33284.80718,2025-04-10 23:59:59.999000 UTC,2690294353.847842,4529545,16339.9191,1321475356.0200849,0
2025-04-11 00:00:00.000000 UTC,79607.3,84300,78969.58,83423.84,34435.43797,2025-04-11 23:59:59.999000 UTC,2830363945.1787524,4423157,18019.58367,1482515278.9177043,0
2025-04-12 00:00:00.000000 UTC,83423.83,85905,82792.95,85276.9,18470.74437,2025-04-12 23:59:59.999000 UTC,1557403252.9267516,2501196,9526.72644,803747272.8,0
2025-04-13 00:00:00.000000 UTC,85276.91,86100,83034.23,83760,24680.04181,2025-04-13 23:59:59.999000 UTC,2086106375.439256,3275879,11658.67909,986303246.0931836,0
2025-04-14 00:00:00.000000 UTC,83760,85799.99,83678,84591.58,28659.09348,2025-04-14 23:59:59.999000 UTC,2429132805.0815287,3921522,15196.58929,1288815999.1406171,0
2025-04-15 00:00:00.000000 UTC,84591.58,86496.42,83600,83643.99,20910.99528,2025-04-15 23:59:59.999000 UTC,1780972414.3956008,2910533,10439.36072,889895753.1673651,0
2025-04-16 00:00:00.000000 UTC,83643.99,85500,83111.64,84030.38,20867.24519,2025-04-16 23:59:59.999000 UTC,1753910031.2009242,3264730,10456.769,878939829.4848368,0
2025-04-17 00:00:00.000000 UTC,84030.38,85470.01,83736.26,84947.91,13728.84772,2025-04-17 23:59:59.999000 UTC,1161659427.386263,2003405,6424.41565,543726754.4187016,0
2025-04-18 00:00:00.000000 UTC,84947.92,85132.08,84303.96,84474.69,6529.96315,2025-04-18 23:59:59.999000 UTC,552648483.6474872,840009,2911.78856,246467088.2621466,0
